label,text
혐오,가짜뉴스같은 ㅈ같은 소리하고있네.북한 빨갱이같은 생각구조를 가지고있는 새끼들이 많이많다.드루킹만봐도 알수있는걸 구라라고 하냐 어떻게 ㅋㅋㅋ
혐오,재앙아 재앙아..
혐오,좌파리들은 뇌가 없어서 시키는 대로함. 그나마 영화라도본새낀 팀장함.개.돼지도 서열이 있다는 증거.
혐오,댓글알바 댓글조작 민좆바퀴새퀴들 떼거지로 몰려왔네
혐오,지금 베댓 올린 새끼들 다 검찰조사 해야한다 배후에 분명 누군가 있다
혐오,어쩐지 기사가 거지같다 했더니 티비조선이잖아? 역시 믿고 거르는 좃선ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
혐오,홍어새끼들 부들부들 하노
혐오,물타기가 정신병수준이네...문슬람탈출은 지능순~
혐오,좃썬이 좃썬해서 떵쏴네...
혐오,정신병자 문슬람.
혐오,쓰레기 언론
혐오,이 기사 댓글에도 겁나게 많네 문베충 댓글OOO 창ㄴ들 싹다 조사받고 잡혀가서 인실ㅈ당해라 제발
혐오,댓통령 문죄인 화이어~!
혐오,역시 짬바 있는 자한당 좆선일보다. 니들덕분에 김경수가 청탁비리없고 깨끗한 정치인인거 덕분에 잘 알았다. 땡큐다.존나
혐오,좌파탈출은 지능순이라 잖아~댓글 좌좀비들 떠들게 나둬~지들 모자른거 인정이니깐~
혐오,TV조선 이제 정신 차렸나요!거짓이 판치는 세상~민주당의 댓글 조작이 밝혀졌는데도 불구하고 이 글에 같은 시간대로 달려들고 있는 김경수와 조작단 3명의 친구들... 부끄럽지 아니한가?탄핵 전부터 다시 밝혀보자 TV조선~대한민국이 미쳐가면서 추락하며 꺼져가는게 보이지 않는가!추미애 박영선 어디서 뭐하나! 큰소리 쳐야하는거 아닌가? 김어준 뭐하나?닥달질하고 갑질해야지.. 참 웃기고 있네~왜 더불당 조용한가? 지들이 하면 잠시 수그러들 때까지 잠수하는건가? 우야먼 좋노~ 우파를 죽이려다 부메랑이 되어 니들이 죽게 되었지 빨갱이들
혐오,이번에 한번 콩밥 지대로 먹어보세요티비 좆선씨
혐오,더라운 전라도 좌좀 ㅅㄲ들..과거 보수도 댓글 공작했다만 좌좀들 처럼 상대방에 뒤집어 씌우려 역공작은 안했다. 비열하고 저열한 ㅅㄲ들..하긴 적백내전 국공내전 베트남전때도 빨갱이 ㅅㄲ들이 역공작으로 상대를 엿먹였지..ㅋㅋㅋ역사는 거짓말 안하지...빨갱이 답습하는 좌좀들 ㅉ
혐오,이러면서도 김경수가 발뺌을 하네 뻔뻔한 좌좀 새끼들
혐오,이런 기사도 쉴드치는 문베충과 종북좌빨들.어디까지 가나 두고보자.김기식도 쉴드치는 쓰레기들.
혐오,문슬람들 댓글 점령했네
혐오,문베충 달창아 기쁨조 자발적으로 하니 좋지 니들이 내로남불 자체 아녀
혐오,"졷선일보 댓글에 정신병자 새끼들 바글바글하네! 이해력, 판단력이 없으니 그냥 빛만 쫓는 아메바나 다름없네! 에라이 비이이잉신들아!"
혐오,민주당이  차마   이런  반민주적인  행동을 거침없이 져질느는지  상상도 못했다 지금   대한민국의 여론조사는 이제 그 신뢰성  쓰레기통에넣어  소각시켜야할정도가됐다  민주당  무서운 놈들이다
혐오,문슬람홍위병들주약먹고 구르는구나
혐오,문제인 찍었는데 다시 찍고싶다 무릎이나 팔꿈치로 이제서 그너미 감성에 속아억울하다
혐오,댓글조작 내용이 현정권과 민주당 비판이라는거. . 요건 왜 쏙빼놓지? ㅉㅉㅉ. . 한심한 조작좃선 언론이 아니지. . 제거되야할 나라의 암덩어리
혐오,종편 이것들은 언론이 아니라 신파극 광대같다....사실관계보다는 흥미위주에 꾕가리치기....아무리 조상이 앞잡이세끼라 해도 하는짓도 어찌그리 똑같은고....그래서 씨도둑질은 못한다 그랬는 갑다.
혐오,그내용은 빼네. . 대글조작인데. . 현정권과 민주당 비판이라는거. . 정말 조작좃선 언론이 아니지. . 대한민국 암덩어리
혐오,언래기 허위면 구속드가자!!좃선 후달리쥐!!ㅋㅋ
혐오,좃선 홍혜영 짠하다. . 시켜서 한일이겠지만댓글조작인데 여당과민주당  비판이라는 내용은 왜빼는지. . 조작질 좃선
